CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
405538879,18,MANHATTAN,01/01/2016,17:00:00,04/05/2019,04:36:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,05/15/2019,988408,219412,40.76891888700004,-73.98499030199997,"(40.768918887, -73.984990302)"
983297347,23,MANHATTAN,01/01/2016,08:00:00,12/31/2017,08:00:00,ATTEMPTED,,N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - PUBLIC HOUSING,04/28/2019,998730,226827,40.78926022400003,-73.94771000099996,"(40.789260224, -73.947710001)"
403250906,26,MANHATTAN,01/01/2016,00:01:00,12/31/2017,23:59:00,COMPLETED,GRANT,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,01/02/2019,996241,236149,40.81485028900005,-73.95668184799997,"(40.814850289, -73.956681848)"
235290134,6,MANHATTAN,01/01/2016,12:00:00,03/01/2016,12:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",PHOTO/COPY,03/11/2019,981983,208095,40.73785727300003,-74.00818192199995,"(40.737857273, -74.008181922)"
965893271,25,MANHATTAN,01/02/2016,09:00:00,01/02/2017,18:30:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,06/04/2019,999525,231804,40.802919400000064,-73.94482770699994,"(40.8029194, -73.944827707)"
690833151,25,MANHATTAN,02/01/2016,13:00:00,09/01/2018,13:00:00,COMPLETED,WAGNER,N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,,166,SODOMY 2,RESIDENCE - PUBLIC HOUSING,04/06/2019,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331, -73.941109286)"
563999853,5,MANHATTAN,02/03/2016,20:40:00,02/03/2019,20:50:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,BAR/NIGHT CLUB,02/03/2019,985464,200485,40.71696988100007,-73.99562209899995,"(40.716969881, -73.995622099)"
877956688,25,MANHATTAN,02/20/2016,00:00:00,08/08/2018,00:00:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,02/20/2019,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331, -73.941109286)"
505910152,28,MANHATTAN,02/25/2016,20:11:00,02/25/2019,20:29:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,02/25/2019,998903,231702,40.802640491000034,-73.94707461199994,"(40.802640491, -73.947074612)"
748658209,34,MANHATTAN,03/05/2016,00:00:00,03/04/2019,23:35:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,03/05/2019,1003411,248824,40.84962687400008,-73.93074276299996,"(40.849626874, -73.930742763)"
849426894,30,MANHATTAN,03/06/2016,08:00:00,03/06/2016,09:00:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,03/06/2019,999794,241252,40.82885104500008,-73.94383419099995,"(40.828851045, -73.943834191)"
337642706,23,MANHATTAN,03/18/2016,13:40:00,03/12/2019,13:46:00,COMPLETED,,N.Y. POLICE DEPT,126,FELONY,,MISCELLANEOUS PENAL LAW,,708,"IMPERSONATION 1, POLICE OFFICE",STREET,03/18/2019,999049,226734,40.78900443500004,-73.94655820499997,"(40.789004435, -73.946558205)"
455393595,32,MANHATTAN,03/23/2016,00:01:00,03/23/2017,00:01:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/23/2019,999358,236472,40.81573205300003,-73.94542041099999,"(40.815732053, -73.945420411)"
546531997,33,MANHATTAN,03/24/2016,20:00:00,03/25/2016,08:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,321,"LARCENY,PETIT FROM AUTO",STREET,03/26/2019,999162,243927,40.83619424000005,-73.94611193699996,"(40.83619424, -73.946111937)"
151621437,9,MANHATTAN,04/13/2016,22:00:00,,,ATTEMPTED,,N.Y. POLICE DEPT,106,FELONY,,FELONY ASSAULT,,109,"ASSAULT 2,1,UNCLASSIFIED",STREET,05/29/2019,991134,203370,40.72488591800004,-73.97516535599993,"(40.724885918, -73.975165356)"
181592115,1,MANHATTAN,04/21/2016,09:00:00,01/11/2019,09:30:00,COMPLETED,,N.Y. POLICE DEPT,340,MISDEMEANOR,FRONT OF,FRAUDS,,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",PUBLIC BUILDING,01/12/2019,982514,197852,40.709742835000036,-74.00626316399996,"(40.709742835, -74.006263164)"
153768808,32,MANHATTAN,04/23/2016,04:00:00,04/28/2016,04:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,407,"LARCENY,GRAND BY DISHONEST EMP",GROCERY/BODEGA,03/22/2019,1001540,241249,40.828839565000074,-73.93752514099998,"(40.828839565, -73.937525141)"
321009695,34,MANHATTAN,04/25/2016,18:00:00,04/25/2019,19:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,637,"HARASSMENT,SUBD 1,CIVILIAN",HOMELESS SHELTER,06/17/2019,1005771,253980,40.86377311300004,-73.92219584099996,"(40.863773113, -73.922195841)"
