INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
199134397,06/30/2019,21:35:00,QUEENS,101,0,,false,,,,25-44,M,WHITE HISPANIC,1051810,158386,40.60115995800004,-73.75670987699993
199134405,06/30/2019,04:24:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,25-44,F,BLACK,982756,210140,40.74347045500008,-74.00539300399998
199134404,06/30/2019,03:33:00,STATEN ISLAND,120,0,,false,,,,18-24,M,BLACK,961586,167100,40.625306611000035,-74.08164662399997
199134399,06/30/2019,01:20:00,BRONX,41,0,MULTI DWELL - APT BUILD,true,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1011581,235322,40.81254626700007,-73.90126678999997
199134403,06/29/2019,18:39:00,BROOKLYN,83,0,,false,45-64,M,BLACK,25-44,M,BLACK,1003824,192762,40.695750503000056,-73.92941323199994
199134401,06/29/2019,06:00:00,BROOKLYN,70,0,,false,18-24,M,WHITE HISPANIC,18-24,M,WHITE,996021,167201,40.62560501000007,-73.95759720299998
199134406,06/29/2019,05:48:00,BROOKLYN,69,0,PVT HOUSE,false,,,,25-44,F,BLACK,1013573,170157,40.63367789500006,-73.89435450199994
199134406,06/29/2019,05:48:00,BROOKLYN,69,0,PVT HOUSE,false,,,,25-44,M,BLACK,1013573,170157,40.63367789500006,-73.89435450199994
199134398,06/28/2019,17:35:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,F,BLACK,1008228,183789,40.67111083400005,-73.91356336299998
199134398,06/28/2019,17:35:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,M,BLACK,1008228,183789,40.67111083400005,-73.91356336299998
199134402,06/28/2019,12:34:00,BROOKLYN,72,0,MULTI DWELL - APT BUILD,true,25-44,M,ASIAN / PACIFIC ISLANDER,45-64,M,ASIAN / PACIFIC ISLANDER,982753,172890,40.64122780400004,-74.00539554699996
199134400,06/28/2019,04:30:00,QUEENS,110,0,,false,,,,25-44,M,BLACK,1021509,208334,40.73843508200008,-73.86555105999997
199061351,06/28/2019,00:26:00,BROOKLYN,83,0,,false,,,,<18,M,WHITE HISPANIC,1003823,194497,40.70051267600007,-73.92941179699994
199052835,06/28/2019,00:25:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,1009394,242828,40.833154599000075,-73.90913931099993
199046249,06/27/2019,21:02:00,QUEENS,101,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1053917,159316,40.603696297000056,-73.74911276899996
199046250,06/27/2019,01:00:00,BRONX,52,0,,false,,,,18-24,M,BLACK HISPANIC,1009309,252307,40.859171900000035,-73.90941104999997
199046251,06/27/2019,00:15:00,BRONX,46,0,,false,,,,25-44,M,BLACK,1005725,249742,40.85214118700002,-73.92237572199997
198998743,06/26/2019,20:45:00,BROOKLYN,81,0,,false,<18,M,BLACK,<18,M,BLACK,1004471,187274,40.68068575000007,-73.92709647699996
198998742,06/26/2019,00:36:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,UNKNOWN,1009077,214329,40.75493348100008,-73.91039019299996
198948496,06/25/2019,22:24:00,BROOKLYN,81,0,PVT HOUSE,false,,,,18-24,M,BLACK,1006938,187372,40.680948759000046,-73.91820160899994
198948498,06/25/2019,16:48:00,QUEENS,108,0,PVT HOUSE,false,65+,M,UNKNOWN,45-64,F,WHITE,1009241,212324,40.74942980400005,-73.90980569899993
198948497,06/25/2019,02:55:00,BRONX,42,0,,false,18-24,M,UNKNOWN,25-44,M,BLACK HISPANIC,1013492,243405,40.834725680000076,-73.89432798599995
198948495,06/25/2019,01:20:00,QUEENS,109,0,,false,<18,M,ASIAN / PACIFIC ISLANDER,18-24,M,UNKNOWN,1032807,217854,40.76451021500004,-73.82471319199995
198948494,06/25/2019,00:01:00,BRONX,48,0,,false,,,,25-44,M,BLACK,1014015,251634,40.85731010600006,-73.89240146599997
198900605,06/24/2019,18:55:00,MANHATTAN,32,0,GROCERY/BODEGA,true,,,,25-44,M,BLACK,1000928,236480,40.81575118600006,-73.93974841499994
198900606,06/24/2019,02:49:00,BRONX,41,0,,false,,,,25-44,M,BLACK,1014135,236990,40.817116189000046,-73.89203291499997
198900607,06/24/2019,00:05:00,BROOKLYN,60,0,,false,,,,18-24,M,BLACK,985897,148507,40.574301425000044,-73.99407278899997
